x, y, vx, vy
28, 168, 5.06275, 0.794865
28, 172, 4.86642, 0.69672
28, 176, 4.73578, 0.614275
28, 180, 4.65445, 0.534315
28, 184, 4.60603, 0.445386
28, 188, 4.57507, 0.342402
28, 192, 4.5506, 0.230653
28, 196, 4.53031, 0.121819
32, 0, 4.54795, 0.0212657
32, 4, 4.55671, -0.102325
32, 8, 4.5827, -0.243088
32, 12, 4.62209, -0.394211
32, 16, 4.67457, -0.536718
32, 20, 4.74611, -0.66084
32, 24, 4.84813, -0.771016
32, 28, 4.99797, -0.877641
32, 32, 5.22096, -0.991413
32, 36, 5.54638, -1.13095
32, 40, 6.00652, -1.32458
32, 44, 6.6693, -1.60437
32, 48, 7.67668, -2.05384
32, 52, 9.16478, -2.87332
32, 56, 11.1373, -4.35408
32, 60, 12.8198, -6.1736
32, 64, 1.15059, -0.771147
32, 68, 0, 0
32, 72, 0, 0
32, 76, 0, 0
32, 80, 0, 0
32, 84, 0, 0
32, 88, 0, 0
32, 92, 0, 0
32, 96, 0, 0
32, 100, 0, 0
32, 104, 0, 0
32, 108, 0, 0
32, 112, 0, 0
32, 116, 0, 0
32, 120, 0, 0
32, 124, 0, 0
32, 128, 0, 0
32, 132, 0, 0
32, 136, 1.11169, 0.74936
32, 140, 12.6745, 6.20055
32, 144, 11.0598, 4.44815
32, 148, 9.115, 2.98049
32, 152, 7.64474, 2.15828
32, 156, 6.6529, 1.70356
32, 160, 6.00251, 1.41492
32, 164, 5.54946, 1.21214
32, 168, 5.22658, 1.06496
32, 172, 5.00368, 0.94523
32, 176, 4.85323, 0.833345
32, 180, 4.75072, 0.717716
32, 184, 4.679, 0.588194
32, 188, 4.62632, 0.441431
32, 192, 4.58612, 0.287663
32, 196, 4.55857, 0.145391
36, 0, 4.60367, 0.01953
36, 4, 4.61248, -0.0697396
36, 8, 4.64296, -0.180473
36, 12, 4.69677, -0.3113
36, 16, 4.77236, -0.447015
36, 20, 4.86885, -0.579613
36, 24, 4.99159, -0.715012
36, 28, 5.15767, -0.860692
36, 32, 5.39991, -1.01929
36, 36, 5.76221, -1.20052
36, 40, 6.29027, -1.43193
36, 44, 7.06006, -1.74968
36, 48, 8.29272, -2.21417
36, 52, 10.2735, -3.02776
36, 56, 12.8855, -4.45695
36, 60, 10.9677, -4.20235
36, 64, 0, 0
36, 68, 0, 0
36, 72, 0, 0
36, 76, 0, 0
36, 80, 0, 0
36, 84, 0, 0
36, 88, 0, 0
36, 92, 0, 0
36, 96, 0, 0
36, 100, 0, 0
36, 104, 0, 0
36, 108, 0, 0
36, 112, 0, 0
36, 116, 0, 0
36, 120, 0, 0
36, 124, 0, 0
36, 128, 0, 0
36, 132, 0, 0
36, 136, 0, 0
36, 140, 10.5468, 4.13392
36, 144, 12.7693, 4.61254
36, 148, 10.2191, 3.19444
36, 152, 8.27132, 2.36561
36, 156, 7.05694, 1.87693
36, 160, 6.29887, 1.54053
36, 164, 5.77551, 1.29327
36, 168, 5.41243, 1.10001
36, 172, 5.16832, 0.932896
36, 176, 5.00084, 0.780354
36, 180, 4.87715, 0.638383
36, 184, 4.77997, 0.499309
36, 188, 4.70347, 0.357785
36, 192, 4.64789, 0.222554
36, 196, 4.61496, 0.109422
40, 0, 4.65449, 0.0173918
40, 4, 4.66591, -0.0267417
40, 8, 4.70683, -0.0879293
40, 12, 4.78087, -0.168257
40, 16, 4.88568, -0.26083
40, 20, 5.01458, -0.362871
40, 24, 5.16795, -0.482774
40, 28, 5.36229, -0.631143
40, 32, 5.63201, -0.815685
40, 36, 6.02743, -1.04564
40, 40, 6.61408, -1.33575
40, 44, 7.48747, -1.72165
40, 48, 8.92052, -2.25824
40, 52, 11.3557, -3.0972
40, 56, 14.0554, -4.18823
40, 60, 4.79289, -1.32054
40, 64, 0, 0
40, 68, 0, 0
40, 72, 0, 0
40, 76, 0, 0
40, 80, 0, 0
40, 84, 0, 0
40, 88, 0, 0
40, 92, 0, 0
40, 96, 0, 0
40, 100, 0, 0
40, 104, 0, 0
40, 108, 0, 0
40, 112, 0, 0
40, 116, 0, 0
40, 120, 0, 0
40, 124, 0, 0
40, 128, 0, 0
40, 132, 0, 0
40, 136, 0, 0
40, 140, 4.35661, 1.24526
40, 144, 13.7935, 4.38512
40, 148, 11.3375, 3.34938
40, 152, 8.93146, 2.45098
40, 156, 7.5109, 1.88045
40, 160, 6.64497, 1.46554
40, 164, 6.05507, 1.1507
40, 168, 5.65445, 0.9029
40, 172, 5.38166, 0.7059
40, 176, 5.1856, 0.547865
40, 180, 5.03074, 0.419737
40, 184, 4.89996, 0.310267
40, 188, 4.79238, 0.21102
40, 192, 4.71477, 0.125713
40, 196, 4.66997, 0.0620838
44, 0, 4.70494, 0.0157685
44, 4, 4.72101, -0.0030051
44, 8, 4.7753, -0.0357706
44, 12, 4.86852, -0.0855576
44, 16, 4.99817, -0.151515
44, 20, 5.15657, -0.23178
44, 24, 5.34221, -0.326098
44, 28, 5.5723, -0.439603
44, 32, 5.88588, -0.585566
44, 36, 6.33776, -0.788444
